Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Included / International,Price / International,Compare At Price / International,Status
9ct-rose-gold-fob-chain-with-valuation,9CT ROSE GOLD FOB CHAIN WITH VALUATION,"<p data-mce-fragment=""1""><br></p>
<table width=""400"" data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">HALL MARK &amp; XRF TESTED</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""> 19CT GOLD</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">TOTAL WEIGHT</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">58.6 grams</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">CONDITION</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">EXCELLENT</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">LENGTH </p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">52.5 CM</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">OVERALL WIDTH </p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">6.2 MM</p>
</td>
</tr>
</tbody>
</table>
<p data-mce-fragment=""1""><u data-mce-fragment=""1"">Rose Gold Fob Chain</u></p>
<p data-mce-fragment=""1"">One 9 carat rose gold (stamped) production oval curb link chain. 39mm T-bar. Swivel clasps. Polished finish. Weight: 58.6 grams; Length: 52.5cm (incl. clasps);</p>
<p data-mce-fragment=""1"">Links: 6.2mm (w)</p>
<p data-mce-fragment=""1"">Comes with a valuation.</p>
<p data-mce-fragment=""1"">Valuation price: $10,090.00</p>
<p data-mce-fragment=""1"">Exceptional value at : $4,995.00 </p>
<p data-mce-fragment=""1"">Item number 27</p>
<p data-mce-fragment=""1"">In order to keep the price low there is no valuation certificate for this item. However one can be arranged for an additional price. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Be confident in your purchase with our money back guarantee.</strong></p>
<p data-mce-fragment=""1"">If for any reason you are not happy with the item, you can return it for a full refund within 5 days.</p>
<p data-mce-fragment=""1"">Please note: The item must be in the same condition it was in it left our store. </p>
<p data-mce-fragment=""1"">This item is <strong data-mce-fragment=""1"">NOT</strong> located in our showroom. If you would like to view this before purchasing please feel free to contact us to pre- arrange a viewing.</p>
<p data-mce-fragment=""1"">Do you have any questions? Please find our frequently asked questions here <u data-mce-fragment=""1""><a href=""https://oncelovedtreasures.com.au/pages/faq"" data-mce-fragment=""1"" data-mce-href=""https://oncelovedtreasures.com.au/pages/faq"">https://oncelovedtreasures.com.au/pages/faq</a></u></p>",Once Loved Treasures,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"antique, Antique Bracelet, Antique jewellery, bracelet, Fob chain, necklace, New, Pocket watch chain, rose gold, rose gold bracelet, vintage jewellery",true,Title,Default Title,,,,,"",0.0,shopify,1,deny,manual,4995.00,,true,true,"",https://cdn.shopify.com/s/files/1/0608/1498/3409/products/27_fb9849b3-013b-41c7-902b-343a87d285b9.jpg?v=1675891441,1,,false,,,,,,,,,,,,,,,,,kg,,,true,true,,,active
9ct-rose-gold-fob-chain-with-valuation,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/27.c_feaa1652-1ea3-4b61-ba3b-383e912889ca.jpg?v=1675891443,2,,,,,,,,,,,,,,,,,,,,,,,,,,
9ct-rose-gold-fob-chain-with-valuation,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/27.b_f7a69164-280d-4796-8854-82a02530d95e.jpg?v=1675891443,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9ct-rose-gold-fob-chain-with-valuation,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/27.d_696953d8-aecb-41ba-9410-754496f6f6db.jpg?v=1675891443,4,,,,,,,,,,,,,,,,,,,,,,,,,,
9ct-rose-gold-fob-chain-with-valuation,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/27.e_4018ffa5-dd13-4779-9e89-8f8da34eb80b.jpg?v=1675891443,5,,,,,,,,,,,,,,,,,,,,,,,,,,
9ct-rose-gold-antique-bracelet-with-heart-locker,9CT ROSE GOLD ANTIQUE BRACELET WITH HEART LOCKER,"<table width=""400"">
<tbody>
<tr>
<td>
<p>HALL MARKED</p>
</td>
<td>
<p>XRF TESTED 9CT</p>
</td>
</tr>
<tr>
<td>
<p>TOTAL WEIGHT</p>
</td>
<td>
<p>44.2 GRAMS</p>
</td>
</tr>
<tr>
<td>
<p>CONDITION</p>
</td>
<td>
<p>EXCELLENT</p>
</td>
</tr>
<tr>
<td>
<p>OVERALL LENGTH OF CHAIN</p>
</td>
<td>
<p>APPROX 19CM</p>
</td>
</tr>
<tr>
<td>
<p>WIDTH</p>
</td>
<td>
<p>10MM</p>
</td>
</tr>
</tbody>
</table>
<p>Old antique hallmarks on locket, Unique chain.</p>
<p>The heart locker has slightly bent tabs on the heart piece, which can be seen in the pics, and is priced accordingly. However it is usable and quite a lovely piece.</p>
<p>Exceptional value at : $2,100.00</p>
<p>Item number 442GB</p>
<p>In order to keep the price low there is no valuation certificate for this item. However one can be arranged for an additional price.</p>
<p>Be confident in your purchase with our money back guarantee.</p>
<p>If for any reason you are not happy with the item, you can return it for a full refund within 5 days. The item must be in the same condition it was in it left our store.</p>
<p>PLEASE NOTE: This item is NOT located in our showroom. Please contact us to pre- arrange a viewing.</p>
<p>Do you have any questions? Please find our frequently asked questions here <u><a href=""https://oncelovedtreasures.com.au/pages/faq"">https://oncelovedtreasures.com.au/pages/faq</a></u></p>",Once Loved Treasures,Apparel & Accessories > Jewelry > Bracelets,Bracelets,"Antique jewellery, bracelet, New, rose gold, rose gold bracelet, vintage jewellery",true,Title,Default Title,,,,,442GB,44.2,shopify,1,deny,manual,2100.00,,true,true,"",https://cdn.shopify.com/s/files/1/0608/1498/3409/products/442GB.e.jpg?v=1675837558,1,,false,,"Old antique hallmarks on locket, Unique chain. The heart locker has slightly bent tabs on the heart piece, which can be seen in the pics, and is priced accordingly. However it is usable and quite a lovely piece. Exceptional value at : $2,100.00 Item number 442GB",,,,,,,,,,,,,,,g,,,true,true,,,active
9ct-rose-gold-antique-bracelet-with-heart-locker,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/442GB.jpg?v=1675837558,2,,,,,,,,,,,,,,,,,,,,,,,,,,
9ct-rose-gold-antique-bracelet-with-heart-locker,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/442GB.b.jpg?v=1675837560,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9ct-rose-gold-antique-bracelet-with-heart-locker,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/442GB.c.jpg?v=1675837560,4,,,,,,,,,,,,,,,,,,,,,,,,,,
9ct-rose-gold-antique-bracelet-with-heart-locker,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/442GB.d.jpg?v=1675837560,5,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-bracelet-3,18CT GOLD BRACELET,"<p data-mce-fragment=""1""><br></p>
<table width=""400"" data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">HALL MARKED</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">XRF TESTED 18CT</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">TOTAL WEIGHT</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">11 GRAMS</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">CONDITION</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">EXCELLENT</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">OVERALL LENGTH OF CHAIN</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">20.5CM</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">WIDTH</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">5MM</p>
</td>
</tr>
</tbody>
</table>
<p data-mce-fragment=""1"">Exceptional value at : $995.00</p>
<p data-mce-fragment=""1"">Item number 18CTB</p>
<p data-mce-fragment=""1"">In order to keep the price low there is no valuation certificate for this item. However one can be arranged for an additional price.</p>
<p data-mce-fragment=""1"">Be confident in your purchase with our money back guarantee.</p>
<p data-mce-fragment=""1"">If for any reason you are not happy with the item, you can return it for a full refund within 5 days. The item must be in the same condition it was in it left our store.</p>
<p data-mce-fragment=""1"">PLEASE NOTE: This item is NOT located in our showroom. Please contact us to pre- arrange a viewing.</p>
<p data-mce-fragment=""1"">Do you have any questions? Please find our frequently asked questions here <u data-mce-fragment=""1""><a href=""https://oncelovedtreasures.com.au/pages/faq"" data-mce-fragment=""1"" data-mce-href=""https://oncelovedtreasures.com.au/pages/faq"">https://oncelovedtreasures.com.au/pages/faq</a></u></p>",Once Loved Treasures,,Bracelets,bracelet,true,Title,Default Title,,,,,"",0.0,shopify,1,deny,manual,995.00,,true,true,"",https://cdn.shopify.com/s/files/1/0608/1498/3409/products/18CTB.e.jpg?v=1673560336,1,,false,,,,,,,,,,,,,,,,,kg,,,true,true,,,active
18ct-gold-bracelet-3,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/18CTB.c.jpg?v=1673560336,2,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-bracelet-3,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/18CTB.b.jpg?v=1673560336,3,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-bracelet-3,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/18CTB.d.jpg?v=1673560336,4,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-bracelet-3,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/18CTB.f.jpg?v=1673560336,5,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-bracelet-3,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/18CTB.jpg?v=1673560336,6,,,,,,,,,,,,,,,,,,,,,,,,,,
