Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Included / International,Price / International,Compare At Price / International,Status
18ct-gold-and-diamond-ring-25970,18CT GOLD AND DIAMOND RING,"<table data-mce-fragment=""1"" width=""400"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">HALL MARKED &amp; XRF TESTED</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">18CT</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">TOTAL WEIGHT</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">4.1 grams</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">CONDITION</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">EXCELLENT</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">RING SIZE</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">J SEE IMAGES</p>
</td>
</tr>
</tbody>
</table>
<p data-mce-fragment=""1"">18ct white gold cluster ring. The parallel band has grain set shoulders flowing up to the centre cluster where a princess cut feature diamond of no less than .20ct is set with a 4 corner claws and surrounded by small diamonds.</p>
<p data-mce-fragment=""1"">All diamonds are I colour and I1 clarity.</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">PLEASE NOTE:</strong> There are only the two bands to this set and therefor has been priced accordingly.</p>
<p data-mce-fragment=""1"">There is no valuation for this ring, however one can be obtained for an additional price of $195.00</p>
<p data-mce-fragment=""1"">Exceptional value at : $495.00</p>
<p data-mce-fragment=""1"">Item number: 25970</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Be confident in your purchase with our money back guarantee.</strong></p>
<p data-mce-fragment=""1"">If for any reason you are not happy with the item, you can return it for a full refund within 5 days. The item must be in the same condition it was in it left our store. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">PLEASE NOTE: </strong>This item is <strong data-mce-fragment=""1"">NOT</strong> located in our showroom. Please contact us to pre- arrange a viewing.</p>
<p data-mce-fragment=""1"">Do you have any questions? Please find our frequently asked questions here <u data-mce-fragment=""1""><a href=""https://oncelovedtreasures.com.au/pages/faq"" data-mce-fragment=""1"" data-mce-href=""https://oncelovedtreasures.com.au/pages/faq"">https://oncelovedtreasures.com.au/pages/faq</a></u></p>",Once Loved Treasures,Apparel & Accessories > Jewelry > Rings,Rings,"18ct gold diamond, 18ct gold diamond ring, 18ct white gold, Diamond, diamond rings, Engagement Ring, Round brilliant cut diamonds, solid 18ct gold, Under $500, Wedding Ring",TRUE,Title,Default Title,,,,,'25970,4.1,shopify,1,deny,manual,495,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/25970.jpg?v=1675981823,1,,FALSE,,18ct white gold cluster ring. The parallel band has grain set shoulders flowing up to the centre cluster where a princess cut feature diamond of no less than .20ct is set with a 4 corner claws and surrounded by small diamonds. All diamonds are I colour and I1 clarity.,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
18ct-gold-and-diamond-ring-25970,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/25970_b.jpg?v=1675981823,2,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-diamond-ring-25970,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/25970_c.jpg?v=1675981824,3,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-diamond-ring-25970,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/25970_d.jpg?v=1675981824,4,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-diamond-ring-25970,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/25970_e.jpg?v=1675981824,5,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-diamond-ring-25970,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/25970_f.jpg?v=1675981824,6,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-diamond-ring-25970,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/25970_g.jpg?v=1675981824,7,,,,,,,,,,,,,,,,,,,,,,,,,,
9ct-gold-necklace-with-three-coloured-glass-pieces,9CT GOLD NECKLACE WITH THREE COLOURED GLASS PIECES,"<p data-mce-fragment=""1""><br></p>
<table width=""400"" data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">HALL MARK</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">9CT XRF TESTED</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">TOTAL WEIGHT</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">24 grams</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">CONDITION</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">EXCELLENT</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">OVERALL DIMEMSIONS OF EACH PENDANT  </p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">LENGTH 32MM X WIDTH 13MM</p>
</td>
</tr>
</tbody>
</table>
<p data-mce-fragment=""1"">Length of necklace is 41.5cm</p>
<p data-mce-fragment=""1"">Exceptional value at : $295.00 </p>
<p data-mce-fragment=""1"">Item number 25888</p>
<p data-mce-fragment=""1"">This does not come with a neck chain, however one can be found in our necklace collections here <a href=""https://oncelovedtreasures.com.au/collections/necklaces"" data-mce-fragment=""1"" data-mce-href=""https://oncelovedtreasures.com.au/collections/necklaces"">https://oncelovedtreasures.com.au/collections/necklaces</a></p>
<p data-mce-fragment=""1"">In order to keep the price low there is no valuation certificate for this item. However, one can be arranged for an additional price. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Be confident in your purchase with our money back guarantee.</strong></p>
<p data-mce-fragment=""1"">If for any reason you are not happy with the item, you can return it for a full refund within 5 days.</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">PLEASE NOTE: </strong>This item is <strong data-mce-fragment=""1"">NOT</strong> located in our showroom. Please contact us to pre- arrange a viewing. </p>
<p data-mce-fragment=""1"">Do you have any questions? Please find our frequently asked questions here <u data-mce-fragment=""1""><a href=""https://oncelovedtreasures.com.au/pages/faq"" data-mce-fragment=""1"" data-mce-href=""https://oncelovedtreasures.com.au/pages/faq"">https://oncelovedtreasures.com.au/pages/faq</a></u></p>",Once Loved Treasures,,Necklaces,"Coloured stones, necklace, Under $500",TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,295,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/25888_b.jpg?v=1675980753,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
9ct-gold-necklace-with-three-coloured-glass-pieces,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/25888_c.jpg?v=1675980754,2,,,,,,,,,,,,,,,,,,,,,,,,,,
9ct-gold-necklace-with-three-coloured-glass-pieces,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/25888_d.jpg?v=1675980754,3,,,,,,,,,,,,,,,,,,,,,,,,,,
